,hh_id,hh_race,hh_is_latinx,hh_zip_code,hh_state,hh_income,hh_size,hh_residence_type
22123,8139752,1,2,1583,MA,13,2,1
22124,8140269,1,2,95666,CA,26,3,1
22125,8140588,1,2,33773,FL,26,2,1
22126,8141917,1,2,85220,AZ,13,2,7
22127,8141923,1,2,85239,AZ,26,4,1
22128,8142283,1,2,80601,CO,10,1,1
22129,8297357,1,2,7601,NJ,18,5,1
22130,8297371,1,2,23316,VA,11,4,1
22131,8297507,4,2,20020,DC,3,5,1
22132,8297549,2,2,21221,MD,13,6,1
22133,8213436,1,2,72142,AR,21,4,1
22134,8214163,3,2,94089,CA,16,4,1
22135,8214518,2,2,20017,DC,18,3,1
22136,8215122,2,2,14760,NY,8,2,3
22137,8215175,4,1,80601,CO,11,2,1
22138,8215184,1,1,80030,CO,21,2,1
22139,8215386,1,2,98531,WA,18,2,1
22140,8215416,1,2,62418,IL,3,3,3
22141,8215215,1,2,33441,FL,21,2,6
22142,8215370,1,2,95307,CA,11,2,1
22143,8215372,1,2,95824,CA,26,4,1
22144,8215611,1,2,95832,CA,17,5,1
22145,8215668,1,2,33062,FL,21,1,6
22146,8216016,4,2,70615,LA,11,4,7
22147,8216554,2,2,33321,FL,23,3,6
22148,8216570,4,1,11717,NY,10,1,1
22149,8216642,2,2,95662,CA,13,4,1
22150,8216749,1,2,33319,FL,10,1,2
22151,8217741,1,2,80011,CO,11,1,1
22152,8217938,1,2,55304,MN,19,2,1
22153,8218007,4,1,33073,FL,26,2,1
22154,8218068,1,2,95864,CA,19,1,1
22155,8218244,1,2,30161,GA,16,4,1
22156,8218248,1,2,28551,NC,11,1,3
22157,8218304,2,2,2302,MA,21,1,1
22158,8218504,2,2,95834,CA,13,1,5
22159,8165068,1,2,85213,AZ,3,1,7
22160,8165073,1,2,85224,AZ,23,5,1
22161,8165203,1,2,95320,CA,19,2,1
22162,8169082,1,2,32174,FL,26,4,1
22163,8169315,1,2,85283,AZ,16,1,1
22164,8169324,1,2,85029,AZ,26,3,1
22165,8169332,1,2,85019,AZ,21,3,1
22166,8169336,1,2,85210,AZ,18,1,1
22167,8169343,1,2,85021,AZ,26,3,1
22168,8169348,1,2,85257,AZ,13,1,6
22169,8169389,1,2,87123,NM,26,2,1
22170,8169545,1,2,91701,CA,11,1,7
22171,8169660,1,2,92404,CA,18,2,1
22172,8169728,4,1,95219,CA,26,3,1
22173,8169736,4,1,95336,CA,15,1,1
22174,8169750,1,2,95346,CA,15,2,1
22175,8101678,2,2,33167,FL,27,2,1
22176,8101684,2,2,33169,FL,18,3,1
22177,8258498,2,2,70127,LA,17,2,1
22178,8258499,2,2,70127,LA,26,4,1
22179,8258888,1,2,35653,AL,26,3,1
22180,8258964,1,2,38343,TN,23,3,1
22181,8259019,2,2,70122,LA,18,2,1
22182,8259020,2,2,70122,LA,26,2,1
22183,8259025,1,1,70128,LA,15,1,1
22184,8259623,4,2,94558,CA,3,1,1
22185,8259785,2,2,70119,LA,11,3,3
22186,8259788,2,2,70127,LA,26,5,1
22187,2049071,1,2,60515,IL,26,4,1
22188,8160027,1,2,33837,FL,15,2,1
22189,8160736,1,2,49858,MI,16,1,7
22190,8161073,1,2,60517,IL,26,4,1
22191,8161182,1,2,97224,OR,15,2,2
22192,8162594,1,2,28358,NC,21,2,1
22193,8162706,1,2,43701,OH,10,1,1
22194,8162709,1,2,43771,OH,15,2,1
22195,8258401,1,2,35094,AL,18,4,1
22196,8258405,2,2,35212,AL,19,2,2
22197,8258454,4,2,74937,OK,15,4,1
22198,8258455,1,2,74959,OK,10,1,1
22199,8258663,1,2,75850,TX,19,3,1
22200,8258705,4,1,79936,TX,26,3,1
22201,8258707,1,1,79936,TX,16,3,1
22202,8258872,1,2,35242,AL,26,1,1
22203,8258873,1,2,35126,AL,19,4,1
22204,8259049,1,2,70719,LA,21,5,1
22205,8259099,1,2,74011,OK,23,4,1
22206,8259109,1,2,74066,OK,17,4,1
22207,8259114,1,2,74101,OK,19,1,6
22208,8259116,1,2,74114,OK,15,3,1
22209,8259203,1,2,28027,NC,21,2,2
22210,8259270,1,2,71438,LA,15,2,1
22211,8161759,1,2,80652,CO,19,2,7
22212,8162062,1,1,89110,NV,11,4,1
22213,8214135,1,2,93436,CA,26,5,1
22214,8214357,1,2,97756,OR,26,3,1
